permalink,wineryname,wineryowner,permitnumber,street,city,state,zipcode,county,lat,lng
/AK/KENAI-PENINSULA/HOMER/RING-OF-FIRE-MEADERY/,RING OF FIRE MEADERY,ALASKA MEADS LLC,AK-W-15001,178 E BUNNELL AVE,HOMER,AK,99603,KENAI PENINSULA,59.640641,-151.539783
/AK/ANCHORAGE/ANCHORAGE/CELESTIAL-MEADS/,CELESTIAL MEADS,MICHAEL R. KIKER,AK-W-15003,600 W 58TH AVE,ANCHORAGE,AK,99518,ANCHORAGE,61.168407,-149.894015
/AK/Municipality-of-Anchorage/ANCHORAGE/ALASKA-DENALI-WINERY/,ALASKA DENALI WINERY,MCBESS ENTERPRISES LLC,AK-W-20240,11901 INDUSTRY WAY,ANCHORAGE,AK,99515,Municipality of Anchorage,61.112783,-149.861021
/AK//SOLDOTNA/ALASKA-BERRIES-LLC/,ALASKA BERRIES LLC,ALASKA BERRIES LLC,AK-W-21001,48660 W POPPY LN,SOLDOTNA,AK,99669,,60.488224,-151.193762
/AK/USA/ANCHORAGE/WAYWARD-ABBEY-BREWING/,WAYWARD ABBEY BREWING,ROSS REED,AK-W-21002,3724 DRUM CIR,ANCHORAGE,AK,99507,USA,61.15838,-149.812445
/AK/KENAI-PENINSULA/HOMER/BEAR-CREEK-WINERY-LLC/,BEAR CREEK WINERY LLC,BEAR CREEK WINERY LLC,AK-W-273,60203 BEAR CREEK DR,HOMER,AK,99603,KENAI PENINSULA,59.669836,-151.455592
/AL/BALDWIN/PERDIDO/PERDIDO-VINEYARDS-OF-GEORGIA-INC/,PERDIDO VINEYARDS OF GEORGIA INC.,PERDIDO VINEYARDS OF GEORGIA INC.,AL-W-11,22100 COUNTY RD,PERDIDO,AL,36562,BALDWIN,30.25681,-87.636272
/AL/ETOWAH/ATTALLA/WILLS-CREEK-VINEYARDS/,WILLS CREEK VINEYARDS,JAHN MICHEL COPPEY AND JANIE R. COPPEY,AL-W-13,10522 DUCK SPRINGS RD,ATTALLA,AL,35954,ETOWAH,34.148289,-85.996683
/AL/CALHOUN/ANNISTON/WHITE-OAK-VINEYARDS/,WHITE OAK VINEYARDS,WHITE OAK VINEYARDS LLC,AL-W-14,1484 DRY HOLLOW RD,ANNISTON,AL,36207,CALHOUN,33.664997,-85.672198
/AL/CHILTON/CLANTON/THE-WINERY-ON-MAIN/,THE WINERY ON MAIN,FIRST FRUITS L.L.C.,AL-W-15000,613 2ND AVE N,CLANTON,AL,35045,CHILTON,32.8394,-86.630544
/AL/SHELBY/CALERA/VIZZINI-FARMS-WINERY/,VIZZINI FARMS WINERY,DEBORAH VIZZINA AND CHARLES THOMAS VIZZINA,AL-W-15002,800 HIGHWAY 87,CALERA,AL,35040,SHELBY,33.175727,-86.775209
/AL/SHELBY/HARPERSVILLE/MORGAN-CREEK-VINEYARDS/,MORGAN CREEK VINEYARDS,CMC WINERY INC.,AL-W-15003,181 MORGAN CREEK LN,HARPERSVILLE,AL,35078,SHELBY,33.326658,-86.456655
/AL/MARSHALL/ALBERTVILLE/JULES-J-BERTA-VINEYARDS-LLC/,JULES J. BERTA VINEYARDS LLC,JULES J. BERTA VINEYARDS LLC,AL-W-15004,1409 DARDEN AVE,ALBERTVILLE,AL,35951,MARSHALL,34.244174,-86.168914
/AL/MACON/NOTASULGA/WHIPPOORWILL-VINEYARD/,WHIPPOORWILL VINEYARD,WHIPPOORWILL VINEYARD L.L.C.,AL-W-15005,4282 COUNTY RD 31,NOTASULGA,AL,36866,MACON,32.574394,-85.744915
/AL/JEFFERSON/BIRMINGHAM/THE-WINERY-AT-PEPPER-PLACE/,THE WINERY AT PEPPER PLACE LP JAHN M. COPPYA CHARLES T. VIZZINA GAYLE TEAL DICK GP'S,THE WINERY AT PEPPER PLACE LP JAHN M. COPPYA CHARLES T. VIZZINA GAYLE TEAL DICK GP'S,AL-W-15007,2801 2ND AVE S,BIRMINGHAM,AL,35233,JEFFERSON,33.515952,-86.79194
/AL/TALLAPOOSA/CAMP-HILL/HODGES-VINEYARDS/,HODGES VINEYARDS,WAKEFIELD ENTERPRISES INC.,AL-W-15008,230 LEE RD,CAMP HILL,AL,36850,TALLAPOOSA,32.689885,-85.650212
/AL/CHILTON/JEMISON/HIDDEN-MEADOW-VINEYARD-LLC/,HIDDEN MEADOW VINEYARD L.L.C.,HIDDEN MEADOW VINEYARD L.L.C.,AL-W-15009,664 COUNTY ROAD 606,JEMISON,AL,35085,CHILTON,32.946908,-86.772048
/AL/ETOWAH/HOKES-BLUFF/MARAELLA-VINEYARDS-&-WINERY/,MARAELLA VINEYARDS & WINERY,LEE INVESTMENT CONSULTANTS LLC,AL-W-15010,5296 OLD US HWY 278 E,HOKES BLUFF,AL,35903,ETOWAH,33.998155,-85.866357
/AL/CLEBURNE/FRUITHURST/THE-FRUITHURST-WINERY-CO/,THE FRUITHURST WINERY CO.,FRUITHURST WINERY LLC,AL-W-15011,27091 COUNTY ROAD 49,FRUITHURST,AL,36262,CLEBURNE,33.885376,-85.478281
/AL/HOUSTON/DOTHAN/FOLKLORE-BREWING-&-MEADERY/,FOLKLORE BREWING & MEADERY,FOLKLORE BREWING & MEADERY LLC,AL-W-15012,153 MARY LOU LN,DOTHAN,AL,36301,HOUSTON,31.148668,-85.395082
/AL/U.S.A./HUNTSVILLE/MAD-COUNTY-WINERY-LLC/,MAD COUNTY WINERY LLC,MAD COUNTY WINERY LLC,AL-W-20264,121 CASTLE DR NW,HUNTSVILLE,AL,35758,U.S.A.,34.749643,-86.708355
/AL/Green/EUTAW/FORTITUDINE-VINEYARD-LLC/,FORTITUDINE VINEYARD LLC,FORTITUDINE VINEYARD LLC,AL-W-20316,280 VINYARD LN,EUTAW,AL,35462,Green,32.823965,-87.864559
/AL/Shelby/CALERA/OZAN-VINEYARD-AND-CELLARS/,OZAN VINEYARD AND CELLARS,SOUTHEAST WINE LLC,AL-W-20426,173 HIGHWAY 301,CALERA,AL,35040,Shelby,33.102898,-86.71651
/AL/Shelby/COLUMBIANA/LEWIS-LAKES-VINEYARDS/,LEWIS LAKES VINEYARDS,LEWIS LAKES VINEYARDS LLC,AL-W-21001,1075 CHELSEA RD,COLUMBIANA,AL,35051,Shelby,33.198911,-86.617474
/AL/Baldwin/FAIRHOPE/THE-FAIR-HOPE-BREWING-COMPANY/,THE FAIR HOPE BREWING COMPANY,THE FAIR HOPE BREWING COMPANY LLC,AL-W-21002,914 NICHOLS AVE,FAIRHOPE,AL,36532,Baldwin,30.516139,-87.884942
/AL/Cleburne/HEFLIN/HIGH-COUNTRY-CELLARS-LLC/,HIGH COUNTRY CELLARS LLC,HIGH COUNTRY CELLARS LLC,AL-W-21003,849 ALMON ST HWY 9,HEFLIN,AL,36264,Cleburne,33.644493,-85.584238
/AL/Shelby/MONTEVALLO/CHATEAU-MONTEVALLO-LLC/,CHATEAU MONTEVALLO LLC,CHATEAU MONTEVALLO LLC,AL-W-21004,1280 HIGHWAY 89,MONTEVALLO,AL,35115,Shelby,33.079072,-86.817212
/AL/Talladega/TALLADEGA/BRYANT-VINEYARD/,BRYANT VINEYARD,BRYANT VINEYARDLLC,AL-W-21005,1454 GRIFFITT BEND ROAD,TALLADEGA,AL,35160,Talladega,33.474582,-86.274132
